2015/09/16 19:13:06.140  5954 2167760704 gX0   Logger started.
2015/09/16 19:13:06.145  5954 2167760704 gX0   Found 0 core dump files ...
2015/09/16 19:13:06.147  5954 2167760704 gX0   systemd: logind service available
2015/09/16 19:13:06.148  5954 2167760704 gX0   systemd: New seat seat0 [path=/org/freedesktop/login1/seat/seat0, activeSession='c1', canGraphical=1, canTTY=1, canMultiSession=1]
2015/09/16 19:13:06.149  5954 2167760704 gX0   SystemdSessionInfo: New session SystemdSessionInfo [id=c1 user=bazza state=user active=1 reliable=1 infoId=0] [path=/org/freedesktop/login1/session/c1 TTY=tty1 seat=seat0 display=:0 vtnr=1 owner=[SysUser_Lin: bazza [uid=1000, gid=1000 home=/home/bazza gecos= shell=/bin/bash]] idle=0(0) active=1 type=x11 class=user state=active timestamp=1442060362447075 service=lxdm defaultCG= leader=2055 audit=0 remote=0 rHost= rUser= killProc=0]
2015/09/16 19:13:06.149  5954 2167760704 gX0   Session Information provided by systemd
2015/09/16 19:13:06.149  5954 2167760704 gX0   XSocket observer: watching /tmp/.X11-unix
2015/09/16 19:13:06.149  5954 2167760704 gX0   XSocket observer: adding XSession: 0
2015/09/16 19:13:06.270  5954 2167760704 gX0   Initialised XFixes extension (base=87 error=140)
2015/09/16 19:13:06.270  5954 2167760704 gX0   TVGuiSlave.64: Running
2015/09/16 19:13:06.523  5954 2088466176 gX0   Audio: PulseAudio enabled
2015/09/16 19:13:06.527  5954 2073556736 gX0   PulseAudio: Connected to server 'unix:/run/user/1000/pulse/native' (protocol version 30, library version 6.0.0
2015/09/16 19:13:06.528  5954 2088466176 gX0   PulseAudio: Connection established
2015/09/16 19:13:06.528  5954 2073556736 gX0   PulseAudio: Exit main loop (0), err=-2
2015/09/16 19:13:05.628    31    32 GX0   Logger started.
2015/09/16 19:13:05.687    31    32 GX0!! SetProcessStartupOptions(): SetProcessDEPPolicy() failed! LE=120
2015/09/16 19:13:06.036    31    32 GX0   TVW X ErrorHandler org 7e4ecaf0, def 7e34b9e0 cur 7d6138d7
2015/09/16 19:13:06.044    31    32 GX0   Wine: Wine DLL initialized
2015/09/16 19:13:06.044    31    32 GX0   Wine: wine-1.6

2015/09/16 19:13:06.045    31    32 GX0   TVW SID0: SpawnSlave: pid 0
2015/09/16 19:13:06.056    31    32 GX0   TVW SID0: SpawnSlave: loading TVGuiSlave.64
2015/09/16 19:13:06.145    31    32 GX0   TVW ObserveFork: OK
2015/09/16 19:13:06.145    31    32 GX0   Wine: Spawned slave process with type 0
2015/09/16 19:13:06.147    31    32 GX0   TVW SID1: SpawnSlave: pid 0
2015/09/16 19:13:06.156    31    32 GX0   TVW SID1: SpawnSlave: loading TVGuiDelegate
2015/09/16 19:13:06.158    31    32 GX0   TVW ReadSlave [1]: Socket closed
2015/09/16 19:13:06.158    31    32 GX0!! TVW ObserveFork(ID = 1): read -2
2015/09/16 19:13:06.158    31    32 GX0!! TVW SpawnSlave(type = 1): Death by exit [127]
2015/09/16 19:13:06.158    31    32 GX0!! TVW SpawnSlave(type = 1): failed, exiting
2015/09/16 19:13:06.158    31    32 GX0!!!Wine: Unable to spawn slave process of type 1
2015/09/16 19:13:06.159    31    32 GX0   Starting GUI master for slave type 0
2015/09/16 19:13:06.159    31    32 GX0   Starting GUI master for slave type 1
2015/09/16 19:13:06.160    31    32 GX0!  TeamViewer.exe: unable to send command 1
2015/09/16 19:13:06.160    31    32 GX0!!!WineGuiMaster[1]: Slave terminated unexpectedly
2015/09/16 19:13:06.160    31    32 GX0!  TeamViewer.exe: unable to send command 2
2015/09/16 19:13:06.161    31    32 GX0   InterProcessBase::SecureNetwork created
2015/09/16 19:13:06.214    31    32 GX0   Monitors: X11 Windowing System, \\.\DISPLAY1, 1920x1080 (0,0), flags=21, dpi=96
2015/09/16 19:13:06.214    31    32 GX0   Monitors: X11 Windowing System, \\.\DISPLAY1, 1680x1050 (1920,0), flags=21, dpi=96
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.224    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
2015/09/16 19:13:06.225    31    32 GX0!  TeamViewer.exe: unable to send command 3
